1,19478,2023-10-12,19.02
2,27301,2022-12-07,18.63
3,11848,2023-05-02,7.65
4,10181,2023-10-01,4.48
5,35456,2022-12-28,18.8
6,24329,2023-10-26,7.02
7,18461,2022-12-14,1.36
8,30813,2023-02-09,3.38
9,36860,2023-09-08,14.39
10,17060,2023-11-05,6.39
11,6406,2023-11-22,12.99
12,27139,2023-09-25,9.3
13,862,2023-03-14,3.93
14,27494,2023-01-14,15.52
15,39749,2023-07-25,11.04
16,26272,2023-02-10,14.24
17,1579,2023-07-10,6.41
18,36932,2023-05-10,12.51
19,17338,2023-06-12,3.23
20,23169,2023-08-03,10.04
21,9422,2023-11-17,19.99
22,39177,2023-05-14,4.17
23,7000,2022-12-20,18.9
24,16874,2023-02-27,7.17
25,5905,2022-12-22,13.01
26,16400,2023-01-24,15.39
27,4851,2023-09-18,3.09
28,2651,2023-11-22,14.23
29,31794,2023-01-14,8.72
30,2495,2023-09-23,14.96
31,11483,2023-05-18,7.09
32,6927,2023-04-05,9.48
33,9968,2023-07-24,8.27
34,10455,2023-07-30,11.95
35,13477,2023-06-03,9.33
36,10908,2023-09-23,9.97
37,13856,2023-05-01,16.11
38,4921,2023-04-26,1.67
39,19044,2023-03-08,16.58
40,34369,2023-09-10,11.97
41,35396,2023-08-04,8.74
42,37027,2023-11-12,7.17
43,3962,2023-02-21,5.38
44,22284,2023-06-12,17.61
45,33316,2023-09-29,13.73
46,38018,2023-10-20,2.51
47,8625,2023-05-14,2.15
48,11651,2023-03-29,12.27
49,10071,2023-03-01,9.72
50,15633,2023-09-23,15.9
51,23727,2022-12-24,5.26
52,30416,2023-07-29,8.25
53,37515,2023-06-08,1.36
54,18911,2023-07-19,5.21
55,24519,2022-12-25,5.78
56,24279,2023-02-04,7.3
57,5796,2023-07-25,15.5
58,39382,2022-11-29,10.23
59,34557,2023-06-13,3.64
60,13099,2023-08-23,15.51
61,17996,2023-01-25,15.59
62,32329,2023-06-15,7.88
63,16094,2022-12-05,3.9
64,22995,2023-08-11,1.09
65,13308,2023-06-05,11.05
66,24042,2023-06-06,4.67
67,30816,2022-11-29,7.5
68,27632,2022-12-16,16.32
69,25934,2022-12-12,7.82
70,11380,2023-07-28,5.64
71,26853,2022-12-11,12.29
72,37859,2023-01-04,11.75
73,21767,2023-03-02,3.55
74,8271,2023-05-07,5.66
75,35597,2023-11-02,1.81
76,26818,2023-02-16,5.17
77,13898,2023-09-22,7
78,819,2023-11-06,14.76
79,11818,2023-04-19,1.89
80,23257,2023-02-24,3.13
81,29297,2023-09-27,3.75
82,1920,2023-01-21,2.35
83,13630,2023-03-25,9.65
84,25225,2022-12-06,17.79
85,37630,2023-05-30,12.33
86,36008,2023-11-10,5.15
87,13098,2023-10-14,4.88
88,36800,2023-07-05,10.56
89,33198,2023-10-06,12.37
90,2891,2023-03-20,12.9
91,36090,2023-01-26,15.48
92,9659,2023-07-24,6.12
93,4253,2023-11-04,12.47
94,33873,2023-08-04,3.71
95,29829,2023-03-05,4.38
96,3230,2023-03-08,1.9
97,13147,2023-01-12,11.55
98,4007,2023-06-27,13.59
99,32825,2023-05-26,7.63
100,36864,2023-05-23,5.65
101,19374,2023-05-24,3.1
102,19717,2023-01-25,4.98
103,4538,2023-01-17,19.02
104,15001,2023-04-11,17.93
105,27881,2023-08-03,1.89
106,32033,2023-11-28,8.22
107,30503,2023-09-01,6.79
108,33327,2023-09-01,8.19
109,18554,2023-03-07,8.29
110,19078,2023-10-16,10.34
111,417,2023-06-05,4.8
112,1644,2023-03-31,3.28
113,13771,2023-07-01,13.31
114,6248,2023-10-24,13.66
115,35166,2023-02-11,11.46
116,3845,2023-03-15,11.04
117,38331,2022-11-29,17.06
118,16194,2023-07-01,7.42
119,17030,2023-05-17,5.04
120,25370,2023-07-17,3.14
121,4544,2023-07-11,11.8
122,10568,2023-06-30,19.41
123,33258,2023-09-21,7.43
124,37529,2023-11-18,13.89
125,12454,2022-12-15,19.96
126,39725,2023-05-01,17.51
127,33283,2023-01-03,4.22
128,527,2023-04-27,19.5
129,33204,2023-01-29,2.08
130,982,2023-04-28,16.93
131,29030,2023-06-15,14.24
132,28308,2022-12-23,12.77
133,14915,2022-12-02,16.89
134,2627,2023-05-02,2.45
135,8525,2023-10-11,6.89
136,32941,2022-12-30,3.94
137,2894,2023-05-29,3.3
138,240,2022-12-02,13.48
139,5825,2023-06-02,7.76
140,20358,2023-04-24,16.52
141,13657,2023-05-29,1.06
142,22478,2023-10-29,14.23
143,20858,2023-03-31,10.8
144,38423,2022-12-04,18.96
145,2665,2022-12-08,13.53
146,31188,2023-06-10,5.35
147,31349,2023-08-21,15.66
148,19590,2023-01-07,7.94
149,28244,2023-11-13,2.85
150,21146,2023-04-28,8.66
151,29564,2023-10-30,9.26
152,8426,2023-08-24,10.6
153,543,2023-11-19,1.47
154,27961,2023-05-12,9.16
155,17479,2023-05-21,6.94
156,33549,2023-02-08,12.64
157,36808,2023-08-07,7.68
158,21824,2023-01-22,15.64
159,7757,2023-11-19,19.79
160,698,2023-10-18,17.81
161,12985,2023-07-24,18.76
162,5292,2023-01-26,8.87
163,13435,2023-05-05,13.42
164,12246,2023-03-06,11.2
165,5558,2022-12-30,5.7
166,30958,2023-01-10,15.34
167,7621,2023-04-14,2.8
168,35779,2023-05-31,1.3
169,10133,2023-10-20,17.34
170,27332,2023-05-03,2.18
171,27093,2023-01-12,17
172,25901,2022-12-02,18.98
173,7823,2023-03-01,12.09
174,22583,2023-08-20,6.3
175,15913,2022-12-10,13.75
176,11132,2023-01-17,1.51
177,22344,2023-03-30,8.81
178,15893,2023-09-15,6.38
179,36895,2023-10-17,4.53
180,13199,2023-05-13,3.49
181,3006,2023-10-19,19.61
182,25181,2022-12-29,18.94
183,9045,2023-02-14,4.64
184,7364,2023-05-29,11.83
185,24911,2023-05-18,16.22
186,19249,2023-02-25,10.91
187,10963,2023-08-21,1.53
188,7234,2023-09-04,7.04
189,22302,2023-01-30,18.21
190,37389,2023-05-28,14.31
191,29269,2023-08-28,1.43
192,23237,2023-06-05,18.07
193,8369,2023-11-27,14.49
194,21481,2023-11-11,15.8
195,22228,2023-02-13,7.52
196,39236,2023-11-08,17.56
197,34557,2023-06-08,18.69
198,16789,2023-09-29,2.02
